movie_id,title,language,genre,release_year,decade,running_time_minutes,imdb_rating,rating_category,maturity_rating,plot,plot_word_count,is_rating_imputed,is_year_imputed
M00001,John Rambo,Tamil,Action,2008,2000s,86,7.0,Good,18+,"In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.",31,False,False
M00002,American Pie,English,Action,1999,1990s,95,7.0,Good,18+,"You'll never look at warm apple pie the same way again! American Pie takes a hysterical look at the goal of four ""unlucky in love"" high school friends who make the ultimate pact: lose their virginity by prom night. Follow the raging hormones of four teenage boys and their girls as they gear up for the most important night of their lives.  Sit back and enjoy a piece of America's #1 comedy hit!",73,False,False
M00003,Bombshell,English,Drama,2019,2010s,108,6.8,Good,18+,"The provocative real story of three smart, ambitious, strong women who anchored one of America's top news networks-and risked everything to stand up to the man who made them.",29,False,False
M00004,Love Birds,Tamil,Romance,1996,1990s,160,5.1,Average,All,"After accidentally meeting, Mridula (Nagma) and Arun (Prabhu Deva) fall in love. However, a few months into their relationship, Arun and Mridhula meet with an accident and he passes away. A devastated Mridula meets a person who looks exactly like her Arun. What happens next is the rest of the movie.",51,False,False
M00005,Hippi,Telugu,Romance,2019,2010s,140,5.0,Average,18+,Hippi is about the live-in relationship between an energetic youngster and a confident girl.,14,False,False
M00006,Honey Bunny As Super Team X,Tamil,Action,2018,2010s,49,6.4,Good,7+,"Flamingo a Hitech Thief has created chaos in the city with his unique and stylish robberies, Honey , Bunny , Zordar and popat turn vigilante’s and transform into super team X to fight Flamingo without revealing their identities. Khanna’s Uncle who is also a scientist help them built super cool gadgets to fight the villain. They must defeat flamingo before his next big robbery.",64,True,False
M00007,Ayyaa,Tamil,Action,2005,2000s,159,5.7,Average,All,"Ayyaa Is A Super Hit Tamil Action Movie, Directed By Hari, Starring Sarath Kumar And Nayanthara In The Lead Roles. Local MLA Ayya Gains An Opponent In Karuppusamy, The Son Of A Corrupt MLA Whom He Killed In The Past. Thirsty For Revenge, Karuppusamy Tries To Create Different Problems For Ayya.",51,False,False
M00008,Mukhya Mantri,Bengali,Drama,1996,1990s,117,6.8,Good,NR,'Mukhya Mantri' is the story of a poor school teacher Bimal Choudhury who is forced by his family members to contest state legislative elections against the corrupt MLA Bibhash Choudhury. The Chief Minister announces that he’ll make Bimal the CM if he wins the election as he was sure he won't win the election. But the well-wisher of people who helps people in need is a popular figure in the ...,71,True,False
M00009,Gandhi Fer Aa Gea,Punjabi,Action,2020,2020s,133,4.9,Average,13+,"Gandhi returns home from a ten year long sentence in jail, only to realize that his village is plagued with gang wars, drug dealers, casteism, poverty and dirty politics. He makes it his personal mission to save the village, but will he be able to save his family alongside it? Or will they, including his beloved sister Balli, get sidelined?",60,False,False
M00010,Premada Vayasu,Kannada,Drama,1997,1990s,116,6.0,Good,NR,"Premada Vayasu is a 1997 Indian Kannada film, directed by Shiv Kumar and produced by J Govindrajulu. The film stars Lekhpandey, Padmaja, T Prabhakar Reddy, Rukmini, J Babukhan in lead roles. The film had musical score by Nagesh Kumar.",39,False,False
M00011,Tum Se Achcha Kaun Hai,Hindi,Romance,2002,2000s,141,4.5,Average,All,"The daughter of a rich tycoon helps Arjun become a singing star. But she falls in love with him, unaware that he is already in love with another girl.",29,False,False
M00012,Swamy,Kannada,Drama,2005,2000s,154,6.0,Good,All,"Swamy is a 2005 Indian Kannada romantic action film directed and co-written by M. S. Ramesh and produced by Bharathi Basavaraju. The main cast includes Darshan, Gayatri Jayaraman and Avinash besides Jai Jagadish and Rangayana Raghu in other pivotal roles. The film was released on 30 September 2005 across Karnataka cinema halls and received a mixed response from critics and audiences.",61,False,False
M00013,Ekkees Tareekh Shubh Muhurat,Hindi,Drama,2018,2010s,93,5.7,Average,All,"A 55-year-old man named Pandit Girdhari Laal Sharma wants to escape his family legacy of becoming a priest and become a storyteller instead. His dream comes true in an unexpected way, when he is jailed and he finds an audience amongst the prisoners.",43,False,False
M00014,Sealers: One Last Hunt,English,Drama,2020,2020s,56,7.7,Excellent,13+,Norwegian seal hunters get a last chance to go on a prohibited hunting practice. Watch the team brave the icy waters to catch the seals and see what made their hunting tradition so controversial.,34,False,False
M00015,Lonavala Bypass,Marathi,Thriller,2009,2000s,106,6.6,Good,13+,"Lonavala Bypass Is A Marathi Suspense Thriller Movie Starring Sanjay Narvekar, Vijay Chavan And Kishore Nandlaskar In Lead Roles. The Lives Of Four Friends, Who Belong To Poor Backgrounds, Take A Drastic Turn After They Win A Lottery.",38,True,False
M00016,Project Almanac,English,Sci-Fi,2015,2010s,106,6.4,Good,13+,"When five teens discover a machine that can send them back in time, the possibilities seem endless. But by changing the past, they have threatened the future of our world. Can they undo the damage they have unleashed before it’s too late?",42,False,False
M00017,Nanna Prema,Telugu,Drama,2019,2010s,143,6.4,Good,13+,A story about a father who tries to understand the struggles of his disabled daughter Paapa. The plot highlights the journey of how he becomes a better man while he comes to terms with his child and her special needs.,40,True,False
M00018,Ghost Stories,English,Drama,2018,2010s,93,6.4,Good,18+,Skeptical professor Phillip Goodman embarks on a trip to the terrifying after being given a file with details of three unexplained cases of apparitions.,24,False,False
M00019,Basthi Mey Saval,Telugu,Drama,2002,2000s,109,6.4,Good,NR,"Basthi Mey Saval is a 2002 Indian Telugu film, directed by Laxman and Produced by Surender Reddy. The film stars Ram- Laxman, Ramireddy, Sakunthala and Sithaara in lead roles.",29,True,False
M00020,Jaani Dushman: Ek Anokhi Kahani,Hindi,Thriller,2002,2000s,152,2.8,Low,13+,A shape-shifting snake exacts vengeance on a group of friends for a crime they did not even commit.,18,False,False
M00021,Devdas,Hindi,Romance,2009,2000s,155,7.6,Excellent,All,Devdas's childhood sweetheart is married off to a rich and powerful widower as Devdas's father opposes their alliance. Heartbroken Devdas then gives in to drinking and spends his numbered days in the arms of a prostitute named Chandramukhi.,38,False,True
M00022,Akashadoothu,Malayalam,Drama,1993,1990s,133,7.4,Good,All,The film tells the tale of a widow suffering from leukemia.,11,False,False
