interaction_id,user_id,movie_id,watch_date,watch_duration_minutes,completed,user_rating,device_type
I000001,U00599,M04770,2024-12-23,22,False,5,Laptop
I000002,U01957,M00701,2025-06-25,118,True,3,Mobile
I000003,U01694,M00532,2025-10-02,157,True,4,Mobile
I000004,U01076,M06548,2025-11-12,134,True,5,Tablet
I000005,U01617,M05283,2023-05-15,153,True,5,Smart TV
I000006,U00921,M05486,2026-04-13,90,True,5,Smart TV
I000007,U02088,M06530,2025-10-29,65,True,4,Laptop
I000008,U00645,M04651,2026-03-12,141,True,3,Laptop
I000009,U01773,M05864,2024-08-16,114,True,3,Mobile
I000010,U00597,M00478,2026-05-06,111,True,3,Mobile
I000011,U01151,M05319,2026-01-10,152,True,4,Smart TV
I000012,U01340,M05738,2024-06-18,57,False,3,Smart TV
I000013,U02820,M05353,2026-04-28,66,False,3,Laptop
I000014,U02352,M03176,2025-06-18,53,True,4,Smart TV
I000015,U01403,M05984,2026-07-15,120,True,2,Mobile
I000016,U01099,M02654,2024-10-15,64,False,3,Mobile
I000017,U01328,M03517,2025-10-03,127,True,3,Mobile
I000018,U01255,M03041,2025-03-04,147,True,3,Smart TV
I000019,U01081,M02596,2025-02-09,115,False,5,Mobile
I000020,U02820,M06702,2026-06-20,87,False,4,Smart TV
I000021,U00838,M08115,2024-08-31,152,True,3,Mobile
I000022,U02968,M03415,2025-12-07,10,True,4,Mobile
I000023,U02450,M05158,2024-06-03,32,False,3,Smart TV
I000024,U02036,M03737,2026-06-04,100,True,4,Mobile
I000025,U02328,M04794,2024-03-02,155,True,4,Smart TV
I000026,U01035,M05979,2024-10-24,116,False,2,Mobile
I000027,U00774,M03110,2023-08-06,127,True,5,Smart TV
I000028,U02256,M02511,2025-10-14,130,True,4,Smart TV
I000029,U01089,M04042,2026-02-15,115,True,4,Smart TV
I000030,U00443,M03389,2026-05-12,127,True,1,Mobile
I000031,U00504,M07904,2025-11-30,9,False,4,Mobile
I000032,U00441,M02387,2026-07-13,89,True,2,Mobile
I000033,U02813,M00344,2026-04-03,48,False,3,Mobile
I000034,U01383,M02103,2025-10-24,36,False,4,Mobile
I000035,U00903,M03483,2024-11-09,131,True,4,Mobile
I000036,U02264,M02278,2024-05-23,89,True,3,Smart TV
I000037,U01298,M03718,2025-02-10,153,True,2,Firestick
I000038,U01570,M07072,2024-02-24,80,True,3,Mobile
I000039,U02340,M00657,2026-06-01,44,False,4,Smart TV
I000040,U00392,M05731,2026-07-11,4,True,5,Smart TV
I000041,U00679,M03540,2025-10-28,30,False,4,Mobile
I000042,U02750,M04908,2026-01-03,92,False,3,Smart TV
I000043,U00952,M00660,2023-12-08,169,True,3,Smart TV
I000044,U00616,M01109,2026-05-18,120,True,3,Smart TV
I000045,U01558,M06599,2024-09-24,142,True,4,Tablet
I000046,U02014,M07297,2023-06-15,125,True,4,Mobile
I000047,U02045,M03395,2025-01-17,87,False,3,Mobile
I000048,U02882,M06997,2025-06-04,58,False,3,Laptop
I000049,U00849,M05570,2025-09-06,139,True,3,Mobile
I000050,U01191,M07375,2026-05-26,108,True,2,Tablet
I000051,U00100,M02026,2025-08-03,52,True,4,Smart TV
I000052,U00265,M07893,2025-11-01,84,True,2,Smart TV
I000053,U01473,M04245,2026-04-05,134,True,4,Smart TV
I000054,U01738,M02446,2024-03-17,141,True,4,Mobile
I000055,U01065,M01508,2026-02-05,140,True,2,Smart TV
I000056,U02119,M06965,2024-08-17,137,True,2,Mobile
I000057,U01563,M03189,2026-04-01,90,True,1,Firestick
I000058,U00379,M02807,2026-05-05,142,True,4,Mobile
I000059,U02152,M07323,2024-07-20,173,True,4,Mobile
I000060,U01786,M02555,2025-04-02,141,True,4,Mobile
I000061,U02133,M01383,2025-02-17,118,True,2,Smart TV
I000062,U00721,M05186,2025-12-27,113,False,3,Mobile
I000063,U00801,M05921,2024-02-05,115,True,2,Laptop
I000064,U01103,M04584,2024-06-11,87,True,3,Mobile
I000065,U01895,M03545,2026-03-13,18,False,4,Firestick
I000066,U01007,M04937,2023-09-10,135,True,3,Mobile
I000067,U01116,M00193,2026-06-30,103,True,3,Tablet
I000068,U01614,M00679,2023-05-22,148,True,3,Tablet
I000069,U00991,M01239,2025-07-11,67,False,3,Mobile
I000070,U01007,M01266,2026-06-26,22,False,3,Smart TV
I000071,U00174,M04117,2026-03-13,97,True,2,Mobile
I000072,U02167,M04241,2024-11-03,59,False,5,Smart TV
I000073,U01655,M00940,2025-07-24,162,True,4,Smart TV
I000074,U02129,M05335,2025-10-19,106,True,4,Tablet
I000075,U01660,M00555,2025-09-04,118,True,4,Smart TV
I000076,U02061,M00667,2025-07-11,82,True,5,Mobile
I000077,U00301,M05185,2025-07-18,17,False,3,Firestick
I000078,U01568,M03574,2026-06-11,107,True,1,Smart TV
I000079,U00066,M06512,2025-03-20,147,True,2,Mobile
I000080,U02419,M03751,2026-04-27,83,False,4,Mobile
I000081,U01002,M02095,2025-03-19,33,False,5,Mobile
I000082,U02920,M02281,2025-07-21,76,True,2,Smart TV
I000083,U00211,M01745,2025-07-18,103,False,1,Mobile
I000084,U00218,M04090,2025-05-10,112,False,4,Mobile
I000085,U01205,M07101,2026-05-28,129,True,5,Mobile
I000086,U01964,M03128,2025-12-28,94,True,3,Firestick
I000087,U00680,M01485,2024-05-16,82,True,3,Laptop
I000088,U01105,M04374,2025-11-26,158,True,4,Smart TV
I000089,U00099,M03154,2024-12-25,34,False,3,Smart TV
I000090,U01168,M07175,2026-06-26,128,True,4,Tablet
I000091,U01997,M04921,2024-02-28,26,True,3,Laptop
I000092,U02985,M02669,2022-11-24,123,True,3,Firestick
I000093,U00629,M06131,2025-09-01,112,True,2,Laptop
I000094,U01802,M07143,2026-03-21,104,True,3,Mobile
I000095,U00805,M04186,2026-06-19,140,True,3,Mobile
I000096,U00181,M01987,2024-09-30,145,True,2,Smart TV
I000097,U01711,M08008,2025-10-14,53,False,3,Smart TV
I000098,U00863,M00632,2025-05-28,115,True,2,Mobile
I000099,U02979,M01029,2026-04-30,121,True,3,Firestick
I000100,U00679,M04040,2024-09-06,141,True,4,Mobile
I000101,U01883,M00863,2026-06-27,90,True,4,Laptop
I000102,U01525,M03080,2026-05-17,35,False,3,Smart TV
I000103,U01355,M06288,2025-10-28,93,True,2,Mobile
I000104,U02794,M06431,2025-10-19,151,True,3,Laptop
I000105,U02433,M04687,2026-01-29,122,True,5,Tablet
I000106,U01778,M03116,2026-04-14,32,False,3,Firestick
I000107,U01658,M05747,2024-07-24,94,True,3,Tablet
I000108,U00437,M04319,2025-08-14,123,True,3,Tablet
I000109,U00897,M01291,2025-04-15,50,True,4,Firestick
I000110,U00404,M02559,2025-06-08,148,True,4,Smart TV
I000111,U01638,M02914,2026-07-04,157,True,3,Mobile
I000112,U02553,M06403,2023-11-18,161,True,4,Mobile
I000113,U00234,M07055,2026-05-27,121,True,3,Smart TV
I000114,U00126,M03554,2026-05-04,98,True,3,Mobile
I000115,U02015,M03567,2023-05-15,126,True,3,Mobile
I000116,U01762,M07181,2024-09-20,107,True,4,Smart TV
I000117,U00676,M05287,2026-05-15,147,True,4,Mobile
I000118,U00340,M00697,2025-12-16,6,False,4,Smart TV
I000119,U02018,M07868,2025-08-09,109,False,4,Laptop
I000120,U00623,M05416,2026-04-02,101,True,3,Mobile
I000121,U00547,M07266,2026-04-06,88,True,3,Laptop
I000122,U02868,M04859,2024-12-13,130,True,4,Mobile
I000123,U01269,M00340,2025-09-18,7,False,2,Mobile
I000124,U00001,M01322,2025-10-16,111,True,5,Mobile
I000125,U01601,M00105,2025-07-20,101,True,4,Mobile
I000126,U01194,M05832,2026-05-05,116,True,5,Tablet
I000127,U01166,M07359,2026-03-08,151,True,3,Mobile
I000128,U02636,M06970,2025-01-22,139,True,5,Smart TV
I000129,U00917,M06651,2024-08-24,151,True,5,Tablet
I000130,U02724,M04324,2024-10-08,50,False,3,Smart TV
I000131,U01203,M02540,2025-06-19,61,False,5,Firestick
I000132,U01267,M03728,2025-06-30,131,True,4,Smart TV
I000133,U02881,M01215,2025-03-11,120,True,3,Tablet
I000134,U00605,M03921,2026-02-06,160,True,2,Laptop
I000135,U01158,M06723,2026-04-21,71,False,2,Laptop
I000136,U01784,M06231,2026-06-05,32,False,3,Laptop
I000137,U01240,M05774,2026-04-13,121,True,3,Smart TV
I000138,U00139,M04941,2026-02-24,94,True,3,Mobile
I000139,U00129,M02811,2024-03-10,40,False,5,Tablet
I000140,U01899,M05280,2026-01-10,114,True,3,Laptop
I000141,U01326,M04580,2025-07-02,74,False,2,Laptop
I000142,U02321,M06834,2025-01-21,118,True,4,Tablet
I000143,U00673,M03829,2025-05-14,125,True,3,Smart TV
I000144,U01371,M01291,2026-06-27,50,True,3,Smart TV
I000145,U01139,M01034,2025-05-25,56,False,3,Laptop
I000146,U02587,M04804,2025-01-16,5,False,4,Mobile
I000147,U01978,M05563,2025-12-04,31,False,4,Mobile
I000148,U02787,M06796,2025-12-16,48,False,4,Smart TV
I000149,U02166,M02259,2025-02-12,142,True,5,Smart TV
I000150,U01782,M04160,2026-06-05,10,False,4,Firestick
I000151,U02421,M05056,2026-07-07,60,False,3,Mobile
I000152,U00074,M05304,2024-03-21,14,False,4,Tablet
I000153,U01710,M00272,2024-07-18,71,False,4,Mobile
I000154,U01291,M07639,2023-01-26,92,True,2,Mobile
I000155,U02671,M07086,2025-03-31,72,False,3,Smart TV
I000156,U01618,M05919,2024-06-12,151,True,4,Mobile
I000157,U01841,M00028,2026-02-13,11,True,3,Firestick
I000158,U01121,M07609,2024-04-18,116,True,4,Smart TV
I000159,U02056,M07383,2026-06-25,96,False,3,Laptop
I000160,U02459,M00907,2026-07-08,131,True,5,Smart TV
I000161,U02188,M03621,2023-05-10,144,True,4,Mobile
I000162,U00962,M04433,2026-04-16,161,True,4,Laptop
I000163,U00726,M01826,2026-03-10,140,True,4,Smart TV
I000164,U01347,M00906,2026-06-12,10,False,3,Mobile
I000165,U02995,M05499,2026-07-04,102,True,3,Mobile
I000166,U00663,M05992,2026-07-14,133,True,4,Mobile
I000167,U00400,M07471,2024-10-26,117,True,4,Firestick
I000168,U02833,M00577,2026-03-28,50,True,3,Mobile
I000169,U00498,M02364,2023-07-26,127,True,3,Mobile
I000170,U01107,M06530,2023-03-31,65,True,4,Smart TV
I000171,U00498,M06985,2025-07-09,27,False,2,Mobile
I000172,U02737,M06733,2024-11-09,55,False,5,Mobile
I000173,U00723,M02434,2024-12-27,86,True,2,Mobile
I000174,U00075,M00924,2025-12-15,155,True,3,Firestick
I000175,U00354,M05703,2026-06-13,146,True,2,Mobile
I000176,U02139,M01965,2025-08-22,66,True,3,Smart TV
I000177,U02587,M04769,2025-12-01,78,False,4,Smart TV
I000178,U02099,M02435,2025-11-02,46,True,3,Mobile
I000179,U02544,M04856,2025-07-23,71,False,2,Mobile
I000180,U00929,M06019,2026-05-29,78,False,3,Smart TV
I000181,U01876,M05384,2025-11-09,108,True,4,Tablet
I000182,U00150,M00034,2026-03-28,133,True,4,Mobile
I000183,U02723,M04812,2023-07-09,139,True,4,Smart TV
I000184,U00031,M06445,2024-12-31,19,False,4,Tablet
I000185,U02436,M06614,2026-01-12,137,True,3,Mobile
I000186,U02025,M07660,2025-10-04,49,False,3,Smart TV
I000187,U00134,M08093,2025-12-27,137,True,4,Mobile
I000188,U02200,M00522,2025-11-14,94,True,4,Tablet
I000189,U00225,M06750,2025-04-22,106,False,3,Laptop
I000190,U01555,M00767,2026-05-11,116,True,4,Tablet
I000191,U00305,M07400,2025-08-10,111,True,4,Smart TV
I000192,U01229,M00483,2026-05-28,38,False,4,Laptop
I000193,U00563,M07153,2026-06-12,106,True,4,Tablet
I000194,U01485,M03100,2026-05-30,27,False,5,Mobile
I000195,U02361,M06717,2026-05-03,134,True,1,Mobile
I000196,U01276,M03522,2025-08-27,118,True,3,Smart TV
I000197,U00327,M06275,2026-05-30,140,True,5,Smart TV
I000198,U02829,M05324,2026-06-22,18,False,4,Smart TV
I000199,U00167,M07316,2026-02-22,113,True,5,Laptop
I000200,U01103,M05117,2025-05-29,187,True,3,Mobile
I000201,U02410,M04596,2026-07-03,130,True,5,Tablet
I000202,U01663,M02401,2026-05-28,153,True,4,Firestick
I000203,U01015,M01248,2024-08-16,86,True,2,Firestick
I000204,U02871,M00852,2024-03-12,126,True,1,Mobile
I000205,U00895,M03115,2025-04-30,144,True,5,Laptop
I000206,U02796,M03645,2025-02-03,119,True,3,Smart TV
I000207,U01120,M02586,2026-06-20,112,True,3,Mobile
I000208,U01761,M06438,2025-02-13,22,True,4,Tablet
I000209,U01199,M06391,2026-05-20,49,False,3,Smart TV
I000210,U01104,M01173,2023-11-25,38,False,5,Smart TV
I000211,U00006,M05140,2025-10-28,148,True,3,Mobile
I000212,U01037,M02929,2024-05-05,116,True,4,Tablet
I000213,U02377,M03461,2026-06-27,150,True,3,Mobile
I000214,U01024,M01151,2026-07-13,41,False,3,Mobile
I000215,U00894,M01608,2026-06-04,139,True,4,Laptop
I000216,U02938,M05822,2026-07-06,108,True,1,Mobile
I000217,U00846,M01158,2023-07-09,75,False,3,Tablet
I000218,U01332,M02269,2025-09-26,121,True,2,Smart TV
I000219,U01127,M01879,2025-10-20,22,False,5,Mobile
I000220,U00771,M00047,2024-07-07,59,False,2,Smart TV
I000221,U01122,M02399,2023-09-15,117,True,4,Smart TV
I000222,U00252,M04641,2026-04-23,61,False,3,Smart TV
I000223,U00835,M04469,2024-09-14,138,True,2,Mobile
I000224,U01746,M07582,2026-06-24,100,True,3,Laptop
I000225,U00268,M03286,2024-07-07,102,True,3,Mobile
I000226,U00823,M05007,2026-03-20,117,True,3,Smart TV
I000227,U01600,M04577,2023-12-17,87,True,2,Firestick
I000228,U00071,M04115,2025-08-13,133,True,2,Mobile
I000229,U02260,M02014,2026-05-24,30,True,3,Laptop
I000230,U02139,M00881,2024-12-08,125,True,3,Laptop
I000231,U01271,M05692,2024-04-24,128,True,3,Smart TV
I000232,U00439,M03724,2025-11-27,138,True,1,Mobile
I000233,U02738,M03419,2026-06-20,72,False,3,Firestick
I000234,U00750,M05788,2024-08-30,8,False,4,Firestick
I000235,U01341,M04933,2025-03-16,17,False,4,Mobile
I000236,U01971,M00947,2023-12-20,17,False,3,Smart TV
I000237,U02851,M07776,2024-11-18,145,True,4,Smart TV
I000238,U02744,M02089,2026-06-27,128,True,4,Smart TV
I000239,U00394,M05453,2024-11-04,109,True,3,Mobile
I000240,U00188,M05565,2026-05-06,97,True,3,Laptop
I000241,U02182,M02183,2024-12-13,22,True,3,Smart TV
I000242,U02826,M05045,2024-03-31,29,False,3,Tablet
I000243,U00840,M04589,2025-12-29,13,False,1,Laptop
I000244,U02247,M01202,2026-05-14,108,True,2,Mobile
I000245,U01520,M02460,2023-04-06,135,True,4,Smart TV
I000246,U00493,M06083,2026-07-07,192,True,3,Tablet
I000247,U00857,M03280,2026-04-20,121,True,4,Mobile
I000248,U01026,M05420,2025-05-17,121,True,3,Smart TV
I000249,U00988,M06018,2025-10-08,118,True,2,Mobile
I000250,U02851,M04816,2026-07-07,62,False,4,Firestick
I000251,U01687,M00086,2024-02-19,142,True,3,Smart TV
I000252,U00940,M04969,2026-03-04,164,True,4,Smart TV
I000253,U01430,M07110,2024-10-15,66,False,3,Mobile
I000254,U00400,M07344,2025-05-26,111,True,4,Laptop
I000255,U00789,M01427,2025-09-01,139,True,3,Mobile
I000256,U00735,M01737,2026-05-13,146,True,2,Mobile
I000257,U00251,M01166,2025-10-05,134,True,4,Mobile
I000258,U00483,M02387,2025-12-06,32,False,3,Laptop
I000259,U01228,M03943,2025-09-23,128,True,3,Laptop
I000260,U00652,M00073,2023-09-22,121,True,3,Mobile
I000261,U00718,M01010,2024-01-21,24,False,2,Laptop
I000262,U00868,M03731,2026-07-14,116,True,5,Mobile
I000263,U00681,M04976,2026-02-09,79,False,4,Smart TV
I000264,U02424,M06869,2026-06-14,35,False,4,Tablet
I000265,U00645,M05614,2025-01-01,108,True,5,Laptop
I000266,U00884,M02229,2026-05-17,159,True,3,Smart TV
I000267,U01824,M02338,2025-12-02,145,True,5,Firestick
I000268,U00083,M03515,2026-06-13,128,True,2,Smart TV
I000269,U00373,M03616,2026-05-25,128,True,4,Laptop
I000270,U00221,M06772,2025-02-02,154,True,3,Tablet
I000271,U02295,M07701,2025-05-15,169,True,2,Laptop
I000272,U00554,M02592,2026-06-15,163,True,3,Mobile
I000273,U00518,M00835,2024-07-09,117,True,2,Smart TV
I000274,U00304,M01268,2026-01-24,153,True,5,Smart TV
I000275,U01064,M06124,2025-08-30,156,True,5,Mobile
I000276,U01752,M07573,2024-07-17,129,True,4,Tablet
I000277,U00904,M05581,2024-10-16,160,True,3,Mobile
I000278,U01812,M06634,2024-07-28,99,True,2,Mobile
I000279,U01319,M06565,2026-01-14,93,True,1,Tablet
I000280,U00123,M00173,2026-07-12,104,False,3,Laptop
I000281,U02962,M04528,2026-06-27,159,True,3,Laptop
I000282,U02610,M01129,2024-03-13,48,False,5,Tablet
I000283,U01799,M01263,2025-11-16,117,True,3,Mobile
I000284,U02584,M05163,2025-04-16,142,True,3,Laptop
I000285,U01448,M05611,2025-09-26,73,True,3,Firestick
I000286,U02645,M04047,2025-07-10,106,True,3,Mobile
I000287,U00606,M03321,2025-11-21,49,True,4,Smart TV
I000288,U02012,M06616,2025-02-14,75,True,2,Mobile
I000289,U01184,M07782,2025-09-26,73,True,2,Mobile
I000290,U00166,M04217,2025-07-03,132,True,5,Smart TV
I000291,U00012,M01781,2026-07-06,60,False,3,Smart TV
I000292,U00364,M04619,2026-07-04,94,True,4,Mobile
I000293,U01548,M02270,2024-02-11,87,True,2,Laptop
I000294,U02096,M04516,2025-11-15,134,True,4,Mobile
I000295,U01271,M03940,2026-03-28,63,False,3,Mobile
I000296,U02926,M04269,2026-06-26,100,True,3,Mobile
I000297,U01681,M07845,2025-02-03,119,True,3,Smart TV
I000298,U01455,M00255,2025-07-18,96,True,3,Smart TV
I000299,U02607,M03144,2026-06-03,84,False,3,Mobile
I000300,U00249,M00434,2026-07-15,71,False,5,Mobile
I000301,U02166,M05264,2024-11-08,85,False,4,Mobile
I000302,U01060,M00952,2023-08-27,161,True,4,Smart TV
I000303,U01941,M02369,2025-10-14,93,True,3,Mobile
I000304,U00769,M00615,2024-03-02,136,True,4,Mobile
I000305,U02757,M06569,2026-03-08,137,True,4,Laptop
I000306,U02974,M06489,2026-06-18,104,True,4,Laptop
I000307,U01260,M02186,2025-10-11,33,True,2,Tablet
I000308,U02937,M07344,2025-04-14,111,True,2,Mobile
I000309,U01032,M07459,2025-10-13,125,True,4,Mobile
I000310,U02588,M03903,2025-04-25,38,False,2,Mobile
I000311,U00174,M02429,2026-01-13,34,False,4,Smart TV
I000312,U00766,M00281,2026-05-19,54,False,2,Mobile
I000313,U01147,M04389,2025-09-21,138,True,4,Firestick
I000314,U02173,M07765,2026-04-25,146,True,4,Mobile
I000315,U00447,M07718,2026-04-22,59,False,2,Tablet
I000316,U01129,M01203,2026-04-06,152,True,2,Tablet
I000317,U00253,M02103,2025-02-05,122,True,3,Mobile
I000318,U02618,M07093,2026-03-10,105,True,2,Mobile
I000319,U00886,M03903,2025-10-06,103,True,3,Smart TV
I000320,U02405,M06876,2024-06-14,73,True,2,Laptop
I000321,U00580,M02806,2025-08-06,135,True,3,Laptop
I000322,U01863,M01390,2023-08-07,136,True,3,Smart TV
I000323,U00814,M00761,2026-05-19,113,True,5,Mobile
I000324,U00888,M07384,2024-09-02,135,True,2,Mobile
I000325,U01666,M03969,2026-07-07,78,False,3,Firestick
